,FANS
0,"85,618"
1,"68,002"
2,"94,791"
3,"261,684"
4,"232,068"
5,"61,709"
6,"83,860"
7,"789,238"
8,"217,424"
9,"50,370"
10,"20,114"
11,"38,907"
12,"262,935"
13,"144,566"
14,"131,098"
15,"230,496"
16,"65,915"
17,"40,451"
18,"46,116"
19,"68,474"
20,"211,104"
21,"10,297"
22,"216,058"
23,"32,421"
24,"14,756"
25,"16,339"
26,"524,280"
27,"245,899"
28,"123,582"
29,"55,494"
30,"162,066"
31,"167,007"
32,"84,064"
33,"57,158"
34,"17,141"
35,"80,632"
36,"21,560"
37,"98,125"
38,"48,738"
39,"30,754"
40,"239,986"
41,"23,450"
42,"776,065"
43,"169,220"
44,"105,401"
45,"239,986"
46,"75,645"
47,"63,235"
48,"48,518"
49,"162,203"
50,"263,335"
51,"40,154"
52,"197,996"
53,"34,698"
54,"34,214"
55,"128,200"
56,"7,274"
