,LISTENER,STREAMING
0,"감상자 단순합: 25,890,100명","스트리밍 단순합: 591,193,900회"
1,"감상자 단순합: 6,112,000명","스트리밍 단순합: 875,145,800회"
2,"감상자 단순합: 19,815,800명","스트리밍 단순합: 1,188,714,700회"
3,"감상자 단순합: 86,511,100명","스트리밍 단순합: 1,909,437,200회"
4,"감상자 단순합: 102,399,100명","스트리밍 단순합: 2,055,472,400회"
5,"감상자 단순합: 17,943,800명","스트리밍 단순합: 466,597,600회"
6,"감상자 단순합: 19,174,400명","스트리밍 단순합: 535,843,900회"
7,"감상자 단순합: 263,454,600명","스트리밍 단순합: 11,001,784,100회"
8,"감상자 단순합: 62,493,100명","스트리밍 단순합: 1,785,606,900회"
9,"감상자 단순합: 4,448,700명","스트리밍 단순합: 94,714,900회"
10,"감상자 단순합: 1,003,500명","스트리밍 단순합: 12,551,600회"
11,"감상자 단순합: 5,111,000명","스트리밍 단순합: 160,316,600회"
12,"감상자 단순합: 156,175,600명","스트리밍 단순합: 2,791,998,700회"
13,"감상자 단순합: 61,547,700명","스트리밍 단순합: 1,039,689,500회"
14,"감상자 단순합: 74,876,000명","스트리밍 단순합: 1,390,937,200회"
15,"감상자 단순합: 70,481,300명","스트리밍 단순합: 2,862,927,900회"
16,"감상자 단순합: 33,822,500명","스트리밍 단순합: 473,717,200회"
17,"감상자 단순합: 5,929,800명","스트리밍 단순합: 176,787,100회"
18,"감상자 단순합: 7,221,200명","스트리밍 단순합: 324,423,500회"
19,"감상자 단순합: 9,336,800명","스트리밍 단순합: 243,327,000회"
20,"감상자 단순합: 58,771,100명","스트리밍 단순합: 1,745,500,000회"
21,"감상자 단순합: 839,400명","스트리밍 단순합: 64,404,800회"
22,"감상자 단순합: 91,964,800명","스트리밍 단순합: 2,733,861,800회"
23,"감상자 단순합: 4,655,400명","스트리밍 단순합: 315,662,800회"
24,"감상자 단순합: 2,769,700명","스트리밍 단순합: 59,745,500회"
25,"감상자 단순합: 960,200명","스트리밍 단순합: 45,123,200회"
26,"감상자 단순합: 162,234,600명","스트리밍 단순합: 7,946,540,300회"
27,"감상자 단순합: 41,715,700명","스트리밍 단순합: 1,796,005,400회"
28,"감상자 단순합: 42,848,600명","스트리밍 단순합: 1,114,400,000회"
29,"감상자 단순합: 19,892,400명","스트리밍 단순합: 455,109,500회"
30,"감상자 단순합: 28,683,800명","스트리밍 단순합: 1,056,313,800회"
31,"감상자 단순합: 19,721,200명","스트리밍 단순합: 959,530,200회"
32,"감상자 단순합: 8,709,300명","스트리밍 단순합: 308,938,200회"
33,"감상자 단순합: 7,796,500명","스트리밍 단순합: 304,289,100회"
34,"감상자 단순합: 764,800명","스트리밍 단순합: 28,174,300회"
35,"감상자 단순합: 10,492,000명","스트리밍 단순합: 492,032,700회"
36,"감상자 단순합: 839,900명","스트리밍 단순합: 27,215,600회"
37,"감상자 단순합: 45,907,600명","스트리밍 단순합: 870,833,300회"
38,"감상자 단순합: 31,881,600명","스트리밍 단순합: 672,357,600회"
39,"감상자 단순합: 8,550,100명","스트리밍 단순합: 128,303,500회"
40,"감상자 단순합: 112,132,100명","스트리밍 단순합: 1,835,488,800회"
41,"감상자 단순합: 5,971,600명","스트리밍 단순합: 67,166,700회"
42,"감상자 단순합: 328,029,800명","스트리밍 단순합: 6,790,912,700회"
43,"감상자 단순합: 98,366,100명","스트리밍 단순합: 1,906,857,000회"
44,"감상자 단순합: 91,344,400명","스트리밍 단순합: 1,184,291,100회"
45,"감상자 단순합: 122,662,700명","스트리밍 단순합: 2,263,891,600회"
46,"감상자 단순합: 51,755,400명","스트리밍 단순합: 771,063,600회"
47,"감상자 단순합: 43,140,100명","스트리밍 단순합: 843,015,200회"
48,"감상자 단순합: 27,856,300명","스트리밍 단순합: 795,996,100회"
49,"감상자 단순합: 59,286,500명","스트리밍 단순합: 921,753,400회"
50,"감상자 단순합: 125,305,300명","스트리밍 단순합: 3,010,831,400회"
51,"감상자 단순합: 30,983,800명","스트리밍 단순합: 433,710,000회"
52,"감상자 단순합: 70,697,000명","스트리밍 단순합: 1,926,438,400회"
53,"감상자 단순합: 6,200,200명","스트리밍 단순합: 190,514,400회"
54,"감상자 단순합: 5,673,500명","스트리밍 단순합: 126,860,600회"
55,"감상자 단순합: 43,062,400명","스트리밍 단순합: 1,002,115,300회"
56,"감상자 단순합: 1,775,300명","스트리밍 단순합: 25,026,800회"
